t	w1	w2	theta1	theta2
498	2.78839	2.74996	0.348667	0.970966
499	2.78798	2.75367	0.347971	0.970393
500	2.7911	2.7516	0.345741	0.96815
501	2.79209	2.74746	0.344464	0.96645
502	2.79232	2.74683	0.344478	0.966361
503	2.78912	2.74639	0.342872	0.966851
504	2.78544	2.74253	0.345269	0.971958
505	2.78136	2.74376	0.340485	0.969942
506	2.77429	2.74597	0.325925	0.963924
507	2.77768	2.74419	0.325049	0.961945
508	2.78013	2.7461	0.327972	0.963616
509	2.78204	2.74552	0.328487	0.963243
510	2.78185	2.74204	0.328606	0.963502
511	2.78235	2.73761	0.328056	0.962618
512	2.78769	2.73019	0.31341	0.946613
513	2.78799	2.73138	0.313746	0.947214
514	2.78489	2.7285	0.313739	0.949351
515	2.78331	2.72595	0.313879	0.950048
516	2.78008	2.71973	0.31797	0.955025
517	2.78205	2.72102	0.319488	0.956118
518	2.78783	2.72114	0.319485	0.956385
519	2.78607	2.71979	0.31924	0.956992
520	2.78189	2.71727	0.319221	0.960406
521	2.78637	2.71833	0.32102	0.962219
522	2.78618	2.72328	0.320594	0.962568
523	2.78321	2.72641	0.314813	0.959378
524	2.78323	2.71762	0.314748	0.956291
525	2.78415	2.71546	0.314385	0.955233
526	2.78631	2.712	0.312148	0.951701
527	2.78625	2.70955	0.312173	0.951025
528	2.78873	2.70996	0.312998	0.95152
529	2.78478	2.70254	0.32034	0.95837
530	2.78502	2.70082	0.32022	0.957987
531	2.78747	2.70346	0.322388	0.960749
532	2.78547	2.70659	0.319391	0.958804
533	2.78644	2.71295	0.321849	0.962649
534	2.78527	2.71228	0.321662	0.962904
535	2.78547	2.71435	0.321869	0.963128
536	2.78349	2.71327	0.321617	0.963886
537	2.78689	2.71568	0.324631	0.966953
538	2.78347	2.71724	0.320444	0.964949
539	2.78229	2.71951	0.318854	0.963892
540	2.78419	2.71539	0.31643	0.960857
541	2.7877	2.7145	0.315597	0.959642
542	2.78136	2.70662	0.326144	0.975108
543	2.78695	2.70835	0.327698	0.978279
544	2.79073	2.71143	0.331107	0.981936
545	2.79443	2.71444	0.334253	0.985387
546	2.7972	2.71597	0.335179	0.986549
547	2.8006	2.71535	0.333351	0.985924
548	2.80199	2.71384	0.332413	0.985436
549	2.7955	2.70758	0.342005	1.00049
550	2.7961	2.70155	0.340487	1.00162
551	2.79717	2.70275	0.340525	1.00139
552	2.80132	2.7028	0.33783	1.00144
553	2.80544	2.7035	0.336355	1.00217
554	2.80975	2.70759	0.340465	1.00717
555	2.81267	2.70815	0.339514	1.00751
556	2.81093	2.71003	0.338428	1.00544
557	2.81763	2.70981	0.333017	1.00497
558	2.81824	2.7084	0.332586	1.0051
559	2.82321	2.70947	0.331921	1.00676
560	2.82657	2.71011	0.331343	1.00738
561	2.83252	2.71324	0.335191	1.01385
562	2.83048	2.70989	0.337652	1.01719
563	2.83161	2.71226	0.338251	1.01732
564	2.83653	2.71537	0.341078	1.02212
565	2.83671	2.71792	0.341199	1.02134
566	2.84349	2.71656	0.332823	1.01834
567	2.84332	2.7164	0.332849	1.01838
568	2.84435	2.71633	0.332612	1.01837
569	2.84576	2.71662	0.332432	1.01847
570	2.8461	2.71725	0.332464	1.01844
571	2.84669	2.72065	0.333129	1.01875
572	2.84641	2.71693	0.333533	1.01959
573	2.84571	2.71507	0.334064	1.02041
574	2.84455	2.71616	0.333662	1.0197
575	2.84538	2.7146	0.332996	1.01955
576	2.84317	2.71523	0.332333	1.0189
577	2.84441	2.71399	0.331465	1.0186
578	2.84588	2.71703	0.332782	1.01976
579	2.84353	2.72031	0.329629	1.01631
580	2.84329	2.72199	0.329468	1.01588
581	2.84238	2.72254	0.32917	1.0156
582	2.84467	2.721	0.327516	1.01453
583	2.84136	2.72046	0.326884	1.01527
584	2.84188	2.71829	0.326473	1.01521
585	2.84212	2.7172	0.32638	1.0153
586	2.84354	2.71744	0.326376	1.01539
587	2.83826	2.71512	0.327718	1.02023
588	2.8357	2.71231	0.32975	1.02373
589	2.83328	2.71222	0.329444	1.02385
590	2.83261	2.71203	0.329496	1.02399
591	2.83573	2.71179	0.328165	1.02383
592	2.84279	2.7128	0.327015	1.02611
593	2.84755	2.71388	0.327031	1.02766
594	2.84579	2.714	0.326746	1.02754
595	2.84986	2.71309	0.323888	1.02646
596	2.84961	2.71379	0.323819	1.0262
597	2.84941	2.71697	0.323574	1.02518
598	2.85137	2.71586	0.322544	1.02465
599	2.84785	2.71631	0.320531	1.02397
600	2.84337	2.71499	0.320117	1.02651
601	2.84304	2.71661	0.319868	1.02571
602	2.84498	2.71235	0.316711	1.02385
