Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.87936	2.8862	0.284827	0.315505	2.54028	0.007123	12.3416	12.3416	56	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.67705	2.71082	1.03348	1.03986	2.45451	0.0351819	2.62464	2.62464	56	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.08572	2.11949	0.556045	0.581405	1.93916	0.0351736	10.4378	10.4378	57	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.18919	2.24547	0.500886	0.499631	2.08268	0.0586222	-0.526855	-0.526855	57	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.75281	2.77313	1.00521	0.980524	2.43463	0.0211667	-10.0455	-10.0455	58	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.819	2.80629	0.351675	0.376631	2.39975	-0.0132438	9.87776	9.87776	58	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.048	2.15123	0.438331	0.496344	1.80203	0.107529	25.3895	25.3895	59	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.01585	2.11931	0.469987	0.517525	1.76963	0.107777	20.8093	20.8093	59	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.24861	3.21897	0.825819	0.780653	2.74514	-0.030879	-17.6306	-17.6306	60	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.24292	3.21221	0.832304	0.789266	2.73051	-0.0319962	-16.7852	-16.7852	60	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.80132	2.77547	0.409838	0.337609	2.376	-0.0269243	-28.2824	-28.2824	61	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.8079	2.71225	0.979985	0.956894	2.52715	-0.0996382	-8.55465	-8.55465	61	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.04808	2.05396	0.524256	0.511077	1.90427	0.00612852	-5.29754	-5.29754	62	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.15139	2.14018	0.453642	0.452897	2.02962	-0.0116729	-0.295277	-0.295277	62	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.79593	2.77809	0.350584	0.336833	2.42678	-0.0185755	-5.4197	-5.4197	63	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.73011	2.71197	0.999951	0.958841	2.50756	-0.0188992	-16.1991	-16.1991	63	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.26218	3.20889	0.788279	0.761069	2.76173	-0.0555063	-10.4209	-10.4209	64	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.21382	3.18786	0.835346	0.78822	2.71119	-0.0270464	-18.451	-18.451	64	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.09449	2.22837	0.452947	0.42567	1.80596	0.139454	-12.2807	-12.2807	65	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.0558	2.011	0.484665	0.570755	1.78498	-0.0466687	33.1966	33.1966	65	2	1	0	1
